CustomerID,Country,State,City,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason
0027-KWYKW,United States,California,Alpaugh,35.869626,-119.498771,female,No,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,no,0,78,3585.0,unknown
0030-FNXPP,United States,California,Keeler,36.560498,-117.962461,female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,no,0,59,5634.0,unknown
0031-PVLZI,United States,California,Korbel,40.7666,-123.80458,female,No,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,yes,1,81,4133.0,competitor had better devices
0032-PGELS,United States,California,Palomar Mountain,33.309852,-116.823091,female,No,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,yes,1,74,5171.0,attitude of service provider
0036-IHMOT,United States,California,Parlier,36.622237,-119.521126,female,No,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,no,0,65,5892.0,unknown
0040-HALCW,United States,California,Modesto,37.612612,-121.108568,male,No,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,no,0,60,6393.0,unknown
0042-JVWOJ,United States,California,Glen Ellen,38.368744,-122.522642,male,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.6,471.85,no,0,26,3722.0,unknown
0042-RLHYP,United States,California,Eureka,40.737431,-124.108897,female,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,no,0,76,4131.0,unknown
0048-LUMLS,United States,California,Moss Beach,37.515556,-122.502311,male,No,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,no,0,55,5263.0,unknown
0048-PIHNL,United States,California,Los Angeles,34.001617,-118.222274,female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,no,0,20,6061.0,unknown
0052-DCKON,United States,California,Los Angeles,34.044271,-118.185237,male,No,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,no,0,42,5845.0,unknown
0052-YNYOT,United States,California,Calexico,32.690654,-115.431225,female,No,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,no,0,72,5462.0,unknown
0056-EPFBG,United States,California,Redding,40.677649,-122.29467,male,No,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,825.4,no,0,29,3899.0,unknown
0057-QBUQH,United States,California,San Martin,37.084697,-121.606417,female,No,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,no,0,59,4797.0,unknown
0058-EVZWM,United States,California,Stockton,38.044523,-121.348048,female,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,no,0,42,5875.0,unknown
0060-FUALY,United States,California,Los Angeles,33.964131,-118.272783,female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75,5597.65,no,0,26,5238.0,unknown
0064-SUDOG,United States,California,Huntington Park,33.97803,-118.217141,female,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,no,0,57,5190.0,unknown
0064-YIJGF,United States,California,Yermo,35.013299,-116.834092,male,No,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,no,0,46,4994.0,unknown
0067-DKWBL,United States,California,Tipton,36.047414,-119.344304,male,Yes,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,yes,1,89,3475.0,competitor had better devices
0068-FIGTF,United States,California,Fremont,37.516791,-121.899117,female,No,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2078.95,no,0,54,2297.0,unknown
0071-NDAFP,United States,California,Santa Rosa,38.439696,-122.668817,male,No,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5,630.6,no,0,65,5230.0,unknown
0074-HDKDG,United States,California,San Jose,37.327069,-121.916819,male,No,Yes,No,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,no,0,66,3807.0,unknown
0076-LVEPS,United States,California,Tujunga,34.296574,-118.244839,male,No,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0,1242.45,no,0,73,3290.0,unknown
0078-XZMHT,United States,California,Visalia,36.391777,-119.372842,male,No,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,no,0,76,6322.0,unknown
0080-EMYVY,United States,California,Lodi,38.123544,-121.159078,female,No,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,no,0,57,4298.0,unknown
0080-OROZO,United States,California,El Portal,37.654551,-119.822984,female,No,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,no,0,36,3244.0,unknown
0082-LDZUE,United States,California,Calistoga,38.629618,-122.593216,male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3,44.3,no,0,57,4427.0,unknown
0082-OQIQY,United States,California,Farmington,37.956963,-120.863055,male,No,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,2607.6,no,0,60,4561.0,unknown
0083-PIVIK,United States,California,Tulelake,41.813521,-121.492666,male,No,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.55,no,0,67,4761.0,unknown
0089-IIQKO,United States,California,Coleville,38.42528,-119.475741,female,No,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,no,0,43,4447.0,unknown
0093-EXYQL,United States,California,Ojai,34.581308,-118.931948,female,Yes,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,no,0,59,5742.0,unknown
0093-XWZFY,United States,California,Desert Hot Springs,33.832799,-116.250973,male,No,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,yes,1,93,2832.0,competitor had better devices
0094-OIFMO,United States,California,North Hollywood,34.207295,-118.400022,female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,yes,1,85,5980.0,product dissatisfaction
0096-BXERS,United States,California,Inverness,38.099323,-122.945723,female,No,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,no,0,74,3442.0,unknown
0096-FCPUF,United States,California,Santa Rosa,38.526941,-122.709096,male,No,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,no,0,48,5039.0,unknown
0098-BOWSO,United States,California,San Jose,37.387027,-121.897775,male,No,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.4,529.8,no,0,39,3792.0,unknown
0100-DUVFC,United States,California,Wilmington,33.782068,-118.262263,male,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,no,0,57,5291.0,unknown
0103-CSITQ,United States,California,Modesto,37.670526,-120.877572,female,No,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,no,0,65,6026.0,unknown
0104-PPXDV,United States,California,San Diego,32.697098,-117.116587,male,No,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,no,0,30,5232.0,unknown
0106-GHRQR,United States,California,Rancho Palos Verdes,33.753146,-118.367459,male,No,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,no,0,39,3360.0,unknown
0106-UGRDO,United States,California,Kenwood,38.419525,-122.521585,female,No,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,8182.85,no,0,37,4216.0,unknown
0107-WESLM,United States,California,West Point,38.41935,-120.469545,male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85,19.85,yes,1,66,3874.0,attitude of support person
0107-YHINA,United States,California,Los Angeles,34.003553,-118.308933,male,No,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,yes,1,93,4214.0,attitude of support person
0111-KLBQG,United States,California,Morongo Valley,34.097863,-116.594561,male,Yes,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,no,0,62,2844.0,unknown
0112-QAWRZ,United States,California,Palo Verde,33.3249,-114.758334,male,No,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,no,0,66,5560.0,unknown
0112-QWPNC,United States,California,Valyermo,34.39583,-117.734568,male,No,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,yes,1,73,6452.0,competitor offered higher download speeds
0114-IGABW,United States,California,Cambria,35.591387,-121.032256,female,No,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,no,0,76,5224.0,unknown
0114-PEGZZ,United States,California,Round Mountain,40.923558,-122.059933,female,No,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.55,3645.5,no,0,33,4800.0,unknown
0114-RSRRW,United States,California,Klamath,41.572813,-124.035011,female,No,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,no,0,54,3831.0,unknown
0115-TFERT,United States,California,Fresno,36.841655,-119.797113,male,No,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,yes,1,89,4123.0,attitude of service provider
0117-LFRMW,United States,California,Angwin,38.542448,-122.419923,male,No,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,yes,1,80,3627.0,competitor offered more data
0118-JPNOY,United States,California,Le Grand,37.249377,-120.249581,female,Yes,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,no,0,46,5700.0,unknown
0121-SNYRK,United States,California,Redway,40.142256,-123.852927,male,No,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,35.4,1748.9,no,0,36,5052.0,unknown
0122-OAHPZ,United States,California,Oceanside,33.254497,-117.285879,female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,yes,1,67,2473.0,price too high
0123-CRBRT,United States,California,Monterey Park,34.049172,-118.115022,female,No,Yes,No,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,no,0,40,5152.0,unknown
0125-LZQXK,United States,California,Big Oak Flat,37.818589,-120.256995,male,No,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,yes,1,99,3025.0,attitude of service provider
0128-MKWSG,United States,California,Stevenson Ranch,34.364153,-118.615583,female,No,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8,1147.0,no,0,45,3287.0,unknown
0129-KPTWJ,United States,California,North Highlands,38.671295,-121.388251,male,No,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,6747.35,no,0,20,5943.0,unknown
0129-QMPDR,United States,California,La Puente,34.038983,-117.991372,male,No,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.5,865.05,no,0,59,3093.0,unknown
0130-SXOUN,United States,California,Glenhaven,39.045246,-122.743181,male,No,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,no,0,49,4889.0,unknown
0133-BMFZO,United States,California,Alhambra,34.074736,-118.145959,female,No,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25,181.65,yes,1,94,3529.0,competitor offered higher download speeds
0134-XWXCE,United States,California,Santa Monica,34.031529,-118.491156,female,Yes,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,no,0,71,3253.0,unknown
0135-NMXAP,United States,California,Lodi,38.123544,-121.159078,female,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,yes,1,97,5671.0,attitude of support person
0136-IFMYD,United States,California,Los Angeles,33.973616,-118.24902,male,Yes,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,7634.25,no,0,63,4297.0,unknown
0137-OCGAB,United States,California,Fairfield,38.287136,-122.02711,female,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.2,80.2,yes,1,90,3056.0,lack of affordable download/upload speed
0137-UDEUO,United States,California,Stockton,37.974498,-121.319568,female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,63.75,yes,1,95,3398.0,extra data charges
0139-IVFJG,United States,California,Inyokern,36.041315,-118.188235,female,No,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,no,0,29,5361.0,unknown
0141-YEAYS,United States,California,Lone Pine,36.590415,-118.073839,female,Yes,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,no,0,77,5990.0,unknown
0142-GVYSN,United States,California,Randsburg,35.405722,-117.773354,male,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.3,511.25,no,0,68,5712.0,unknown
0147-ESWWR,United States,California,Atascadero,35.453912,-120.69461,female,Yes,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,3949.15,no,0,77,3172.0,unknown
0148-DCDOS,United States,California,Planada,37.329725,-120.306399,male,No,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,yes,1,82,5641.0,price too high
0151-ONTOV,United States,California,Moorpark,34.312945,-118.858169,female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,yes,1,78,4739.0,attitude of support person
0156-FVPTA,United States,California,Solvang,34.624399,-120.137875,male,No,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.2,1152.7,yes,1,87,5102.0,attitude of service provider
0164-APGRB,United States,California,Calistoga,38.629618,-122.593216,female,No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,no,0,69,4589.0,unknown
0164-XAIRP,United States,California,La Mirada,33.902045,-118.008961,female,No,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.55,470.2,no,0,34,2511.0,unknown
0168-XZKBB,United States,California,Boron,34.95703,-117.73045,female,No,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,1564.4,no,0,64,5072.0,unknown
0174-QRVVY,United States,California,San Marcos,33.119028,-117.166036,male,No,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.35,1847.55,no,0,68,5747.0,unknown
0177-PXBAT,United States,California,Desert Center,33.889605,-115.257009,male,Yes,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,no,0,59,5655.0,unknown
0178-CIIKR,United States,California,Crows Landing,37.435664,-121.049056,female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,no,0,74,5949.0,unknown
0178-SZBHO,United States,California,Tuolumne,37.939768,-120.188002,male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.2,4017.45,no,0,76,3760.0,unknown
0181-RITDD,United States,California,San Diego,32.807867,-117.060993,male,No,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,no,0,43,5298.0,unknown
0186-CAERR,United States,California,Auburn,38.912881,-121.082766,male,No,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3,8309.55,no,0,59,4644.0,unknown
0187-QSXOE,United States,California,Fresno,36.623632,-119.741322,male,Yes,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,605.45,no,0,36,5711.0,unknown
0187-WZNAB,United States,California,Del Rey,36.657462,-119.595293,female,No,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35,no,0,57,4331.0,unknown
0188-GWFLE,United States,California,Redwood City,37.527497,-122.230941,male,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,33.7,no,0,59,4978.0,unknown
0191-EQUUH,United States,California,Landers,34.341737,-116.539416,female,No,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,no,0,69,2754.0,unknown
0191-ZHSKZ,United States,California,Hawthorne,33.914775,-118.348083,male,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,no,0,55,3033.0,unknown
0193-ESZXP,United States,California,Oceano,35.059695,-120.604741,female,Yes,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.5,6205.5,yes,1,100,5067.0,attitude of support person
0195-IESCP,United States,California,Armona,36.315979,-119.710852,male,No,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,yes,1,75,3573.0,competitor offered more data
0196-JTUQI,United States,California,Clarksburg,38.384648,-121.578701,female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2,633.85,no,0,68,5841.0,unknown
0196-VULGZ,United States,California,Irvine,33.716136,-117.752574,female,Yes,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.35,474.9,yes,1,77,5721.0,deceased
0197-PNKNK,United States,California,Scotts Valley,37.070177,-122.010077,female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),84.45,5848.6,no,0,49,5629.0,unknown
0201-MIBOL,United States,California,Salida,37.713152,-121.08739,female,Yes,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4,6471.85,no,0,69,4861.0,unknown
0201-OAMXR,United States,California,Mckinleyville,40.965011,-124.015255,female,No,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.55,8127.6,yes,1,87,4838.0,network reliability
